{u'isTweet': False, u'conll': u'You . . \ncan . . \nfind . . \nour . . \nIcefog . . B_MALWARE\nAPT . . \nanalysis . . \nand . . \ndetailed . . \nreport . . \nhere . . \n. . . \n', u'malware': [u'icefog'], u'uniqMalware': [u'Macfog', u'Dagger Panda', u'Icefog'], u'docID': u'KjmiRO', u'numMalwareMentions': 20, u'created': u'2015-09-11T08:58:42.210698', u'numUniqueMalware': 3, u'sentence': u'You can find our Icefog APT analysis and detailed report here .', u'sentence_type': u'DanielMeningar', u'random': 0.9771767990628093, u'title': u'The Icefog APT Hits US Targets With Java Backdoor', u'_id': u'411f4897ad2b9016af88c1fc6355a550'}
{u'isTweet': False, u'conll': u'Taidoor . . B_MALWARE\nis . . \na . . \ncampaign . . \nwhich . . \nemployed . . \nmalicious . . \n. . . \n', u'malware': [u'taidoor'], u'uniqMalware': [u'Gh0st RAT', u'Ixeshe', u'Taidoor'], u'docID': u'ONzC0V', u'numMalwareMentions': 7, u'created': u'2015-09-11T09:12:04.450847', u'numUniqueMalware': 3, u'sentence': u'Taidoor is a campaign which employed malicious .', u'sentence_type': u'DanielMeningar', u'random': 0.22172613170862454, u'title': u'Messaging Application LINE Used as a Decoy for Targeted Attack', u'_id': u'c5168663431ac9fd5629780b2d06718c'}
{u'isTweet': False, u'conll': u'Microsoft . . \nof . . \nbeing . . \nthe . . \nman . . \nbehind . . \nthe . . \nKelihos . . B_MALWARE\n. . . \n', u'malware': [u'kelihos'], u'uniqMalware': [u'Waledac - Kelihos'], u'docID': u'JW6CFL', u'numMalwareMentions': 7, u'created': u'2015-09-11T09:13:41.455627', u'numUniqueMalware': 1, u'sentence': u'Microsoft of being the man behind the Kelihos botnet', u'sentence_type': u'DanielMeningar', u'random': 0.667375004490171, u'title': u'Microsoft settles with Sabelnikov over the Kelihos botnet', u'_id': u'bcdf755073e15c471916cf4b2f0a7eaf'}
{u'isTweet': False, u'conll': u'National . . \nSecurity . . \nAgency . . \nemployed . . \n. . . \n', u'malware': [u'regin'], u'uniqMalware': [u'Stuxnet', u'Regin'], u'docID': u'MPEpMP', u'numMalwareMentions': 16, u'created': u'2015-09-11T09:04:19.860295', u'numUniqueMalware': 2, u'sentence': u'National Security Agency employed Regin', u'sentence_type': u'DanielMeningar', u'random': 0.20945329856597117, u'title': u'Regin: A Sophisticated Surveillance Malware On Par With Stuxnet', u'_id': u'2d2c0b1db59dec91c05d758dbf719dc3'}
{u'isTweet': u'', u'conll': u'I . . \neven . . \nwrote . . \na . . \nbook . . \nabout . . \nit . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'I even wrote a book about it .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:07:57.475151', u'random': 0.8265378820044857, u'sentence_type': u'negative_crowdflower', u'_id': u'b60fedc1ca40d88810fedf669bcf87c6'}
{u'isTweet': u'', u'conll': u'Click . . \nStart . . \nmenu . . \nbutton . . \nand . . \nselect . . \nControl . . \npanel . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'Click Start menu button and select Control panel .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:08:33.272513', u'random': 0.917318044452829, u'sentence_type': u'negative_crowdflower', u'_id': u'12f4833c8d94c5aa04c101ae848eb81f'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n43 . . \nChecking . . \nfor . . \nfile . . \nusr . . \nbin . . \ncrontabs . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:43] Checking for file '/usr/bin/crontabs' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:09:12.982030', u'random': 0.9777657117455237, u'sentence_type': u'negative_crowdflower', u'_id': u'fa7c9af755e9219a474ed6c8b7a2f2ca'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n45 . . \nChecking . . \nfor . . \nfile . . \nlib . . \nsecurity . . \nconfig . . \nsn . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:45] Checking for file '/lib/security/.config/sn' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:09:40.804905', u'random': 0.7128255008931599, u'sentence_type': u'negative_crowdflower', u'_id': u'6be72ee5eef5f16acf85e7580c249d52'}
{u'isTweet': u'', u'conll': u' . . \n08 . . \n18 . . \n50 . . \nChecking . . \nfor . . \nfile . . \ndev . . \npts . . \n01 . . \nbin . . \ndu . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[08:18:50] Checking for file '/dev/pts/01/bin/du' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:09:41.433084', u'random': 0.978493559001835, u'sentence_type': u'negative_crowdflower', u'_id': u'5c9e45a4d920018fc7f9d6a677f30fa7'}
{u'isTweet': u'', u'conll': u'user . . \ncredentials . . \nor . . \nother . . \nsensitive . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'user credentials or other sensitive information', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:09:46.630905', u'random': 0.9148002911049599, u'sentence_type': u'negative_crowdflower', u'_id': u'c10c66df3a233a5f97032fc46d56c461'}
{u'isTweet': u'', u'conll': u'appeared . . \nfirst . . \non . . \nThe . . \nState . . \nof . . \nSecurity . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'appeared first on The State of Security .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:09:48.384786', u'random': 0.5870856450964853, u'sentence_type': u'negative_crowdflower', u'_id': u'f6fddf3c9d67076fafab278e75dca9ab'}
{u'isTweet': u'', u'conll': u' . . \n16 . . \n12 . . \n57 . . \nChecking . . \nfor . . \nfile . . \ndev . . \ntux . . \nbackup . . \ncrontab . . \nNot . . \nfound . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u"[16:12:57] Checking for file '/dev/tux/backup/crontab' [ Not found ]", u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:10:03.433469', u'random': 0.2903820284044788, u'sentence_type': u'negative_crowdflower', u'_id': u'5f3adcbc9621b537a06b6b19670c8f1c'}
{u'isTweet': u'', u'conll': u'appeared . . \nfirst . . \non . . \nWe . . \nLive . . \nSecurity . . \n. . . \n', u'malware': [], u'uniqMalware': u'', u'docID': u'', u'numMalwareMentions': u'', u'sentence': u'appeared first on We Live Security .', u'numUniqueMalware': u'', u'title': u'', u'created': u'2016-03-22T00:10:26.369483', u'random': 0.2534780748009766, u'sentence_type': u'negative_crowdflower', u'_id': u'd87d3f15ff8ab5f04607cf2284ae51fb'}
