Timestamp: 2016.04.22.15.28.06 Training stats(voteWithInfodens):
P=0.9352 R=0.4256 F=0.5849
P=0.9615 R=0.4565 F=0.6190
P=0.9663 R=0.5239 F=0.6794
P=0.9646 R=0.5744 F=0.7201
P=0.9653 R=0.5857 F=0.7290
P=0.9594 R=0.5969 F=0.7359
P=0.9601 R=0.6081 F=0.7446
P=0.9606 R=0.6166 F=0.7511
P=0.9610 R=0.6236 F=0.7564
P=0.9612 R=0.6264 F=0.7585
P=0.9656 R=0.6306 F=0.7630
P=0.9639 R=0.6376 F=0.7675
P=0.9683 R=0.6433 F=0.7730
P=0.9681 R=0.6390 F=0.7699
P=0.9682 R=0.6419 F=0.7720
P=0.9646 R=0.6503 F=0.7768
P=0.9684 R=0.6447 F=0.7740
P=0.9685 R=0.6475 F=0.7761
P=0.9684 R=0.6461 F=0.7751
P=0.9684 R=0.6447 F=0.7740
P=0.9686 R=0.6489 F=0.7771
P=0.9645 R=0.6489 F=0.7758
P=0.9644 R=0.6475 F=0.7748
P=0.9643 R=0.6447 F=0.7727
P=0.9643 R=0.6447 F=0.7727
P=0.9603 R=0.6461 F=0.7725
P=0.9606 R=0.6503 F=0.7755
P=0.9608 R=0.6545 F=0.7786
P=0.9609 R=0.6559 F=0.7796
P=0.9610 R=0.6573 F=0.7807
P=0.9611 R=0.6587 F=0.7817
P=0.9611 R=0.6587 F=0.7817
P=0.9611 R=0.6587 F=0.7817
P=0.9609 R=0.6559 F=0.7796
P=0.9588 R=0.6545 F=0.7780
P=0.9588 R=0.6545 F=0.7780
*
*
Timestamp: 2016.04.23.03.07.19 Training stats(gibbsWithInfodens):
P=0.9354 R=0.4270 F=0.5863
P=0.9526 R=0.5365 F=0.6864
P=0.9525 R=0.5913 F=0.7296
P=0.9608 R=0.6194 F=0.7532
P=0.9597 R=0.6348 F=0.7642
P=0.9604 R=0.6475 F=0.7735
P=0.9545 R=0.6475 F=0.7715
P=0.9582 R=0.6447 F=0.7708
P=0.9607 R=0.6531 F=0.7776
P=0.9612 R=0.6615 F=0.7837
P=0.9593 R=0.6629 F=0.7841
P=0.9571 R=0.6587 F=0.7804
P=0.9593 R=0.6629 F=0.7841
P=0.9575 R=0.6643 F=0.7844
P=0.9579 R=0.6713 F=0.7894
P=0.9576 R=0.6657 F=0.7854
P=0.9594 R=0.6643 F=0.7851
P=0.9593 R=0.6615 F=0.7830
P=0.9593 R=0.6629 F=0.7841
P=0.9593 R=0.6629 F=0.7841
P=0.9631 R=0.6601 F=0.7833
P=0.9629 R=0.6559 F=0.7803
P=0.9629 R=0.6559 F=0.7803
P=0.9609 R=0.6559 F=0.7796
P=0.9609 R=0.6559 F=0.7796
P=0.9608 R=0.6545 F=0.7786
P=0.9609 R=0.6559 F=0.7796
P=0.9589 R=0.6559 F=0.7790
P=0.9590 R=0.6573 F=0.7800
P=0.9590 R=0.6573 F=0.7800
P=0.9588 R=0.6545 F=0.7780
P=0.9589 R=0.6559 F=0.7790
P=0.9587 R=0.6517 F=0.7759
P=0.9589 R=0.6559 F=0.7790
P=0.9590 R=0.6573 F=0.7800
P=0.9590 R=0.6573 F=0.7800
*
*
