Timestamp: 2016.04.19.14.29.16 Training stats(LCNew):
P=0.9379 R=0.4242 F=0.5841
P=0.9402 R=0.5744 F=0.7132
P=0.9511 R=0.6278 F=0.7563
P=0.9485 R=0.6461 F=0.7686
P=0.9551 R=0.6573 F=0.7787
P=0.9572 R=0.6601 F=0.7814
P=0.9633 R=0.6643 F=0.7864
P=0.9618 R=0.6713 F=0.7907
P=0.9577 R=0.6671 F=0.7864
P=0.9616 R=0.6685 F=0.7887
P=0.9635 R=0.6671 F=0.7884
P=0.9614 R=0.6643 F=0.7857
P=0.9652 R=0.6629 F=0.7860
P=0.9555 R=0.6629 F=0.7828
P=0.9553 R=0.6601 F=0.7807
P=0.9551 R=0.6573 F=0.7787
P=0.9593 R=0.6615 F=0.7830
P=0.9611 R=0.6601 F=0.7827
P=0.9591 R=0.6587 F=0.7810
P=0.9630 R=0.6573 F=0.7813
P=0.9608 R=0.6545 F=0.7786
P=0.9629 R=0.6559 F=0.7803
P=0.9608 R=0.6545 F=0.7786
P=0.9608 R=0.6545 F=0.7786
P=0.9609 R=0.6559 F=0.7796
P=0.9611 R=0.6587 F=0.7817
P=0.9610 R=0.6573 F=0.7807
P=0.9591 R=0.6587 F=0.7810
P=0.9590 R=0.6573 F=0.7800
P=0.9588 R=0.6545 F=0.7780
P=0.9588 R=0.6531 F=0.7769
P=0.9590 R=0.6573 F=0.7800
P=0.9591 R=0.6587 F=0.7810
P=0.9589 R=0.6559 F=0.7790
P=0.9590 R=0.6573 F=0.7800
P=0.9590 R=0.6573 F=0.7800
*
*
