*
*
Timestamp: 2016.04.26.13.58.53 Training stats:
P=0.9373 R=0.4199 F=0.5800
P=0.9550 R=0.5365 F=0.6871
P=0.9627 R=0.5801 F=0.7239
P=0.9625 R=0.6124 F=0.7485
P=0.9612 R=0.6264 F=0.7585
P=0.9660 R=0.6376 F=0.7682
P=0.9683 R=0.6433 F=0.7730
P=0.9662 R=0.6433 F=0.7723
P=0.9665 R=0.6489 F=0.7765
P=0.9646 R=0.6503 F=0.7768
P=0.9686 R=0.6489 F=0.7771
P=0.9705 R=0.6475 F=0.7767
P=0.9705 R=0.6461 F=0.7757
P=0.9706 R=0.6489 F=0.7778
P=0.9705 R=0.6475 F=0.7767
P=0.9704 R=0.6447 F=0.7747
P=0.9706 R=0.6489 F=0.7778
P=0.9687 R=0.6517 F=0.7792
P=0.9687 R=0.6517 F=0.7792
P=0.9705 R=0.6475 F=0.7767
P=0.9684 R=0.6447 F=0.7740
P=0.9685 R=0.6475 F=0.7761
P=0.9684 R=0.6447 F=0.7740
P=0.9662 R=0.6433 F=0.7723
P=0.9642 R=0.6433 F=0.7717
P=0.9623 R=0.6447 F=0.7721
P=0.9664 R=0.6461 F=0.7744
P=0.9623 R=0.6447 F=0.7721
P=0.9666 R=0.6503 F=0.7775
P=0.9667 R=0.6517 F=0.7785
P=0.9667 R=0.6517 F=0.7785
P=0.9627 R=0.6517 F=0.7772
P=0.9629 R=0.6559 F=0.7803
P=0.9587 R=0.6517 F=0.7759
P=0.9589 R=0.6559 F=0.7790
*
*
Timestamp: 2016.04.27.01.42.31 Training stats:
P=0.9385 R=0.4284 F=0.5882
P=0.9439 R=0.5435 F=0.6898
P=0.9438 R=0.5660 F=0.7076
P=0.9476 R=0.5843 F=0.7228
P=0.9542 R=0.5857 F=0.7258
P=0.9588 R=0.5885 F=0.7293
P=0.9674 R=0.6250 F=0.7594
P=0.9652 R=0.6236 F=0.7577
P=0.9651 R=0.6208 F=0.7556
P=0.9630 R=0.6208 F=0.7549
P=0.9672 R=0.6208 F=0.7562
P=0.9625 R=0.6124 F=0.7485
P=0.9670 R=0.6180 F=0.7541
P=0.9671 R=0.6194 F=0.7551
P=0.9632 R=0.6250 F=0.7581
P=0.9657 R=0.6320 F=0.7640
P=0.9677 R=0.6306 F=0.7636
P=0.9677 R=0.6306 F=0.7636
P=0.9676 R=0.6292 F=0.7626
P=0.9664 R=0.6461 F=0.7744
P=0.9665 R=0.6489 F=0.7765
P=0.9685 R=0.6475 F=0.7761
P=0.9647 R=0.6531 F=0.7789
P=0.9668 R=0.6545 F=0.7806
P=0.9628 R=0.6545 F=0.7793
P=0.9608 R=0.6545 F=0.7786
P=0.9611 R=0.6601 F=0.7827
P=0.9612 R=0.6615 F=0.7837
P=0.9611 R=0.6587 F=0.7817
P=0.9629 R=0.6559 F=0.7803
P=0.9608 R=0.6545 F=0.7786
P=0.9607 R=0.6531 F=0.7776
P=0.9609 R=0.6559 F=0.7796
P=0.9588 R=0.6545 F=0.7780
P=0.9589 R=0.6559 F=0.7790
P=0.9589 R=0.6559 F=0.7790
*
*
Timestamp: 2016.04.27.10.13.52 Training stats:
P=0.9381 R=0.4256 F=0.5855
P=0.9641 R=0.5281 F=0.6824
P=0.9657 R=0.5927 F=0.7346
P=0.9667 R=0.6124 F=0.7498
P=0.9627 R=0.6166 F=0.7517
P=0.9609 R=0.6208 F=0.7543
P=0.9654 R=0.6278 F=0.7609
P=0.9685 R=0.6475 F=0.7761
P=0.9647 R=0.6531 F=0.7789
P=0.9689 R=0.6559 F=0.7822
P=0.9645 R=0.6489 F=0.7758
P=0.9687 R=0.6517 F=0.7792
P=0.9706 R=0.6489 F=0.7778
P=0.9706 R=0.6503 F=0.7788
P=0.9707 R=0.6517 F=0.7798
P=0.9667 R=0.6517 F=0.7785
P=0.9686 R=0.6503 F=0.7782
P=0.9647 R=0.6531 F=0.7789
P=0.9647 R=0.6531 F=0.7789
P=0.9648 R=0.6545 F=0.7799
P=0.9687 R=0.6517 F=0.7792
P=0.9669 R=0.6573 F=0.7826
P=0.9667 R=0.6517 F=0.7785
P=0.9627 R=0.6517 F=0.7772
P=0.9647 R=0.6517 F=0.7779
P=0.9646 R=0.6503 F=0.7768
P=0.9644 R=0.6475 F=0.7748
P=0.9665 R=0.6475 F=0.7754
P=0.9645 R=0.6489 F=0.7758
P=0.9582 R=0.6447 F=0.7708
P=0.9586 R=0.6503 F=0.7749
P=0.9628 R=0.6545 F=0.7793
P=0.9609 R=0.6559 F=0.7796
P=0.9592 R=0.6601 F=0.7820
P=0.9590 R=0.6573 F=0.7800
*
*
Timestamp: 2016.04.27.12.17.56 Training stats:
P=0.9348 R=0.4228 F=0.5822
P=0.9429 R=0.5801 F=0.7183
P=0.9404 R=0.6208 F=0.7479
P=0.9511 R=0.6559 F=0.7764
P=0.9588 R=0.6545 F=0.7780
P=0.9550 R=0.6559 F=0.7777
P=0.9567 R=0.6517 F=0.7753
P=0.9610 R=0.6573 F=0.7807
P=0.9607 R=0.6517 F=0.7766
P=0.9629 R=0.6559 F=0.7803
P=0.9628 R=0.6545 F=0.7793
P=0.9630 R=0.6573 F=0.7813
P=0.9625 R=0.6489 F=0.7752
P=0.9628 R=0.6545 F=0.7793
P=0.9628 R=0.6545 F=0.7793
P=0.9609 R=0.6559 F=0.7796
P=0.9608 R=0.6545 F=0.7786
P=0.9610 R=0.6573 F=0.7807
P=0.9610 R=0.6573 F=0.7807
P=0.9609 R=0.6559 F=0.7796
P=0.9607 R=0.6531 F=0.7776
P=0.9606 R=0.6503 F=0.7755
P=0.9606 R=0.6503 F=0.7755
P=0.9607 R=0.6517 F=0.7766
P=0.9607 R=0.6517 F=0.7766
P=0.9607 R=0.6531 F=0.7776
P=0.9569 R=0.6545 F=0.7773
P=0.9609 R=0.6559 F=0.7796
P=0.9607 R=0.6517 F=0.7766
P=0.9587 R=0.6517 F=0.7759
P=0.9625 R=0.6489 F=0.7752
P=0.9605 R=0.6489 F=0.7745
P=0.9585 R=0.6489 F=0.7739
P=0.9584 R=0.6475 F=0.7728
P=0.9588 R=0.6545 F=0.7780
P=0.9588 R=0.6545 F=0.7780
*
*
