Timestamp: 2016.04.14.07.33.13 Training stats:
P=0.9379 R=0.4682 F=0.6246
P=0.9275 R=0.5953 F=0.7252
P=0.9371 R=0.6465 F=0.7651
P=0.9550 R=0.6574 F=0.7787
P=0.9604 R=0.6760 F=0.7934
P=0.9755 R=0.6791 F=0.8007
P=0.9846 R=0.6961 F=0.8156
P=0.9787 R=0.7116 F=0.8241
P=0.9763 R=0.7023 F=0.8170
P=0.9809 R=0.7163 F=0.8280
P=0.9808 R=0.7132 F=0.8259
P=0.9770 R=0.7240 F=0.8317
P=0.9831 R=0.7209 F=0.8318
P=0.9851 R=0.7178 F=0.8305
P=0.9832 R=0.7256 F=0.8350
P=0.9832 R=0.7240 F=0.8339
P=0.9832 R=0.7271 F=0.8360
P=0.9894 R=0.7209 F=0.8341
P=0.9936 R=0.7178 F=0.8335
P=0.9914 R=0.7178 F=0.8327
P=0.9895 R=0.7287 F=0.8393
P=0.9895 R=0.7302 F=0.8403
P=0.9896 R=0.7349 F=0.8434
P=0.9936 R=0.7271 F=0.8397
P=0.9938 R=0.7395 F=0.8480
P=0.9938 R=0.7411 F=0.8490
P=0.9937 R=0.7364 F=0.8459
P=0.9938 R=0.7411 F=0.8490
P=0.9917 R=0.7380 F=0.8462
P=0.9896 R=0.7364 F=0.8444
P=0.9896 R=0.7364 F=0.8444
P=0.9876 R=0.7380 F=0.8447
P=0.9896 R=0.7349 F=0.8434
P=0.9876 R=0.7380 F=0.8447
P=0.9835 R=0.7395 F=0.8442
P=0.9835 R=0.7411 F=0.8453
*
*
