Timestamp: 2016.04.19.11.58.23 Training stats:
P=0.9317 R=0.4213 F=0.5803
P=0.9715 R=0.5267 F=0.6831
P=0.9632 R=0.5885 F=0.7306
P=0.9668 R=0.6138 F=0.7509
P=0.9690 R=0.6138 F=0.7515
P=0.9694 R=0.6236 F=0.7590
P=0.9660 R=0.6376 F=0.7682
P=0.9699 R=0.6334 F=0.7664
P=0.9583 R=0.6461 F=0.7718
P=0.9623 R=0.6447 F=0.7721
P=0.9612 R=0.6615 F=0.7837
P=0.9569 R=0.6545 F=0.7773
P=0.9575 R=0.6643 F=0.7844
P=0.9574 R=0.6629 F=0.7834
P=0.9631 R=0.6601 F=0.7833
P=0.9590 R=0.6573 F=0.7800
P=0.9573 R=0.6615 F=0.7824
P=0.9629 R=0.6559 F=0.7803
P=0.9628 R=0.6545 F=0.7793
P=0.9608 R=0.6545 F=0.7786
P=0.9629 R=0.6559 F=0.7803
P=0.9631 R=0.6601 F=0.7833
P=0.9609 R=0.6559 F=0.7796
P=0.9589 R=0.6559 F=0.7790
P=0.9609 R=0.6559 F=0.7796
P=0.9607 R=0.6517 F=0.7766
P=0.9606 R=0.6503 F=0.7755
P=0.9608 R=0.6545 F=0.7786
P=0.9588 R=0.6531 F=0.7769
P=0.9589 R=0.6559 F=0.7790
P=0.9591 R=0.6587 F=0.7810
P=0.9588 R=0.6545 F=0.7780
P=0.9590 R=0.6573 F=0.7800
P=0.9589 R=0.6559 F=0.7790
P=0.9588 R=0.6545 F=0.7780
*
*
