Timestamp: 2016.04.19.16.28.42 Training stats(RandomNew):
P=0.9379 R=0.4242 F=0.5841
P=0.9534 R=0.4888 F=0.6462
P=0.9626 R=0.5056 F=0.6630
P=0.9595 R=0.5323 F=0.6847
P=0.9609 R=0.5520 F=0.7012
P=0.9535 R=0.5758 F=0.7180
P=0.9582 R=0.5801 F=0.7227
P=0.9628 R=0.5815 F=0.7250
P=0.9660 R=0.5983 F=0.7389
P=0.9658 R=0.5941 F=0.7357
P=0.9667 R=0.6110 F=0.7487
P=0.9674 R=0.6250 F=0.7594
P=0.9651 R=0.6208 F=0.7556
P=0.9612 R=0.6264 F=0.7585
P=0.9614 R=0.6292 F=0.7606
P=0.9576 R=0.6348 F=0.7635
P=0.9602 R=0.6433 F=0.7704
P=0.9575 R=0.6334 F=0.7625
P=0.9578 R=0.6376 F=0.7656
P=0.9542 R=0.6433 F=0.7685
P=0.9538 R=0.6376 F=0.7643
P=0.9640 R=0.6390 F=0.7686
P=0.9639 R=0.6376 F=0.7675
P=0.9638 R=0.6348 F=0.7655
P=0.9620 R=0.6404 F=0.7690
P=0.9621 R=0.6419 F=0.7700
P=0.9606 R=0.6503 F=0.7755
P=0.9605 R=0.6489 F=0.7745
P=0.9605 R=0.6489 F=0.7745
P=0.9607 R=0.6517 F=0.7766
P=0.9586 R=0.6503 F=0.7749
P=0.9587 R=0.6517 F=0.7759
P=0.9586 R=0.6503 F=0.7749
P=0.9591 R=0.6587 F=0.7810
P=0.9588 R=0.6545 F=0.7780
*
*
