Timestamp: 2016.04.12.11.53.06 Training stats:
P=0.9408 R=0.4682 F=0.6253
P=0.9726 R=0.4961 F=0.6571
P=0.9858 R=0.5380 F=0.6961
P=0.9866 R=0.5690 F=0.7217
P=0.9747 R=0.5969 F=0.7404
P=0.9827 R=0.6171 F=0.7581
P=0.9832 R=0.6341 F=0.7710
P=0.9811 R=0.6434 F=0.7772
P=0.9861 R=0.6589 F=0.7900
P=0.9885 R=0.6682 F=0.7974
P=0.9910 R=0.6837 F=0.8092
P=0.9934 R=0.6992 F=0.8207
P=0.9934 R=0.7023 F=0.8229
P=0.9956 R=0.7070 F=0.8268
P=0.9935 R=0.7116 F=0.8293
P=0.9935 R=0.7132 F=0.8303
P=0.9894 R=0.7225 F=0.8351
P=0.9875 R=0.7364 F=0.8437
P=0.9875 R=0.7364 F=0.8437
P=0.9874 R=0.7302 F=0.8396
P=0.9876 R=0.7380 F=0.8447
P=0.9937 R=0.7380 F=0.8470
P=0.9937 R=0.7349 F=0.8449
P=0.9896 R=0.7349 F=0.8434
P=0.9875 R=0.7349 F=0.8427
P=0.9875 R=0.7333 F=0.8416
P=0.9875 R=0.7364 F=0.8437
P=0.9855 R=0.7364 F=0.8429
P=0.9835 R=0.7380 F=0.8432
P=0.9854 R=0.7349 F=0.8419
P=0.9835 R=0.7395 F=0.8442
P=0.9855 R=0.7380 F=0.8440
P=0.9855 R=0.7380 F=0.8440
P=0.9856 R=0.7426 F=0.8470
P=0.9836 R=0.7442 F=0.8473
*
*
