Timestamp: 2016.04.19.14.15.25 Training stats:
P=0.9352 R=0.4256 F=0.5849
P=0.9468 R=0.5000 F=0.6544
P=0.9554 R=0.5421 F=0.6918
P=0.9573 R=0.5674 F=0.7125
P=0.9609 R=0.5871 F=0.7289
P=0.9680 R=0.5955 F=0.7374
P=0.9616 R=0.5983 F=0.7377
P=0.9665 R=0.6081 F=0.7466
P=0.9642 R=0.6053 F=0.7437
P=0.9670 R=0.6180 F=0.7541
P=0.9632 R=0.6250 F=0.7581
P=0.9615 R=0.6306 F=0.7617
P=0.9635 R=0.6306 F=0.7623
P=0.9617 R=0.6348 F=0.7648
P=0.9619 R=0.6376 F=0.7669
P=0.9623 R=0.6461 F=0.7731
P=0.9644 R=0.6461 F=0.7738
P=0.9621 R=0.6419 F=0.7700
P=0.9641 R=0.6419 F=0.7707
P=0.9623 R=0.6447 F=0.7721
P=0.9665 R=0.6489 F=0.7765
P=0.9665 R=0.6489 F=0.7765
P=0.9643 R=0.6447 F=0.7727
P=0.9603 R=0.6447 F=0.7714
P=0.9604 R=0.6475 F=0.7735
P=0.9622 R=0.6433 F=0.7710
P=0.9607 R=0.6517 F=0.7766
P=0.9607 R=0.6517 F=0.7766
P=0.9607 R=0.6517 F=0.7766
P=0.9607 R=0.6517 F=0.7766
P=0.9608 R=0.6545 F=0.7786
P=0.9608 R=0.6545 F=0.7786
P=0.9609 R=0.6559 F=0.7796
P=0.9590 R=0.6573 F=0.7800
P=0.9588 R=0.6545 F=0.7780
P=0.9589 R=0.6559 F=0.7790
*
*
