Timestamp: 2016.05.06.10.08.16 Training stats(EspLC):
P=0.5733 R=0.5674 F=0.5704
P=0.6178 R=0.5839 F=0.6004
P=0.6405 R=0.5919 F=0.6152
P=0.6388 R=0.6013 F=0.6195
P=0.6464 R=0.6084 F=0.6268
P=0.6381 R=0.6042 F=0.6207
P=0.6440 R=0.6122 F=0.6277
P=0.6434 R=0.6081 F=0.6253
P=0.6517 R=0.6115 F=0.6310
P=0.6595 R=0.6219 F=0.6402
P=0.6643 R=0.6289 F=0.6461
P=0.6663 R=0.6346 F=0.6500
P=0.6681 R=0.6340 F=0.6506
P=0.6683 R=0.6383 F=0.6529
P=0.6698 R=0.6401 F=0.6546
P=0.6764 R=0.6491 F=0.6625
P=0.6768 R=0.6489 F=0.6626
P=0.6763 R=0.6483 F=0.6620
P=0.6782 R=0.6518 F=0.6648
P=0.6750 R=0.6490 F=0.6618
P=0.6758 R=0.6511 F=0.6632
P=0.6761 R=0.6538 F=0.6648
P=0.6770 R=0.6546 F=0.6656
P=0.6794 R=0.6578 F=0.6685
P=0.6831 R=0.6611 F=0.6719
P=0.6830 R=0.6608 F=0.6717
P=0.6828 R=0.6599 F=0.6712
P=0.6824 R=0.6581 F=0.6701
P=0.6857 R=0.6627 F=0.6740
P=0.6825 R=0.6593 F=0.6707
P=0.6856 R=0.6637 F=0.6745
P=0.6832 R=0.6628 F=0.6729
P=0.6864 R=0.6649 F=0.6755
P=0.6908 R=0.6678 F=0.6791
P=0.6921 R=0.6668 F=0.6792
P=0.6914 R=0.6669 F=0.6789
P=0.6950 R=0.6709 F=0.6828
P=0.6977 R=0.6751 F=0.6862
P=0.6965 R=0.6741 F=0.6851
P=0.6964 R=0.6734 F=0.6847
P=0.7011 R=0.6786 F=0.6897
P=0.7023 R=0.6788 F=0.6904
*
*
Timestamp: 2016.05.06.12.39.19 Training stats(NedLC):
P=0.3276 R=0.1889 F=0.2396
P=0.4332 R=0.3089 F=0.3606
P=0.4947 R=0.4232 F=0.4562
P=0.5097 R=0.4420 F=0.4734
P=0.5397 R=0.4773 F=0.5066
P=0.5401 R=0.4785 F=0.5074
P=0.5544 R=0.4896 F=0.5200
P=0.5538 R=0.4928 F=0.5215
P=0.5636 R=0.5026 F=0.5313
P=0.5726 R=0.5125 F=0.5409
P=0.5743 R=0.5187 F=0.5450
P=0.5782 R=0.5250 F=0.5503
P=0.5818 R=0.5309 F=0.5552
P=0.5873 R=0.5365 F=0.5607
P=0.5973 R=0.5464 F=0.5707
P=0.5984 R=0.5467 F=0.5713
P=0.6051 R=0.5536 F=0.5782
P=0.6079 R=0.5548 F=0.5802
P=0.6100 R=0.5598 F=0.5838
P=0.6247 R=0.5595 F=0.5903
P=0.6594 R=0.6042 F=0.6306
P=0.6596 R=0.6070 F=0.6322
P=0.6596 R=0.6103 F=0.6340
P=0.6641 R=0.6158 F=0.6391
P=0.6608 R=0.6136 F=0.6363
P=0.6626 R=0.6155 F=0.6382
P=0.6668 R=0.6216 F=0.6434
P=0.6634 R=0.6209 F=0.6414
P=0.6600 R=0.6161 F=0.6373
P=0.6696 R=0.6289 F=0.6486
P=0.6457 R=0.5880 F=0.6155
P=0.6760 R=0.6288 F=0.6515
*
*
Timestamp: 2016.05.06.14.49.26 Training stats(TwitterLC):
P=0.5000 R=0.0026 F=0.0052
P=0.1250 R=0.0052 F=0.0101
P=0.2000 R=0.0092 F=0.0175
P=0.3333 R=0.0131 F=0.0252
P=0.4545 R=0.0196 F=0.0376
P=0.5000 R=0.0209 F=0.0402
P=0.8000 R=0.0262 F=0.0507
P=0.6154 R=0.0314 F=0.0598
P=0.7029 R=0.1270 F=0.2151
P=0.6736 R=0.1270 F=0.2137
P=0.6872 R=0.1610 F=0.2609
P=0.6243 R=0.1545 F=0.2476
P=0.6330 R=0.1558 F=0.2500
P=0.6832 R=0.1806 F=0.2857
P=0.6667 R=0.1937 F=0.3002
P=0.6681 R=0.2003 F=0.3082
P=0.6759 R=0.2238 F=0.3363
P=0.6537 R=0.2199 F=0.3291
P=0.6415 R=0.2225 F=0.3304
P=0.6654 R=0.2212 F=0.3320
P=0.6641 R=0.2277 F=0.3392
P=0.6241 R=0.2238 F=0.3295
P=0.6502 R=0.2238 F=0.3330
P=0.6717 R=0.2330 F=0.3460
P=0.6540 R=0.2251 F=0.3350
P=0.6742 R=0.2356 F=0.3492
P=0.6757 R=0.2291 F=0.3421
P=0.6616 R=0.2277 F=0.3389
P=0.6486 R=0.2343 F=0.3442
P=0.6533 R=0.2343 F=0.3449
P=0.6631 R=0.2448 F=0.3576
P=0.6446 R=0.2421 F=0.3520
P=0.6401 R=0.2421 F=0.3514
P=0.6194 R=0.2513 F=0.3575
P=0.6125 R=0.2565 F=0.3616
P=0.6332 R=0.2644 F=0.3730
P=0.6106 R=0.2565 F=0.3613
P=0.6104 R=0.2605 F=0.3651
P=0.6092 R=0.2592 F=0.3636
P=0.6215 R=0.2579 F=0.3645
P=0.6056 R=0.2552 F=0.3591
P=0.6195 R=0.2579 F=0.3641
P=0.6168 R=0.2592 F=0.3650
P=0.6262 R=0.2631 F=0.3705
P=0.6349 R=0.2618 F=0.3707
P=0.6324 R=0.2657 F=0.3742
P=0.6389 R=0.2709 F=0.3805
P=0.6386 R=0.2683 F=0.3779
P=0.6444 R=0.2775 F=0.3879
P=0.6336 R=0.2762 F=0.3847
*
*
Timestamp: 2016.05.06.16.39.54 Training stats(EspRandom):
P=0.5725 R=0.5671 F=0.5698
P=0.5846 R=0.5846 F=0.5846
P=0.5893 R=0.5887 F=0.5890
P=0.5917 R=0.5929 F=0.5923
P=0.5883 R=0.5870 F=0.5877
